topic,engine,query,notes
RF Generator,google,"(\"RF generator\" OR \"RF power supply\" OR \"RF source\" OR \"RF amplifier\") (plasma OR etch OR CVD OR PVD OR ALD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","broad_keyword"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (13.56 OR 27.12 OR 40.68 OR 60 OR 2.45) (GaN OR LDMOS OR \"class E\" OR \"class F\") (plasma OR CVD OR etch) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","keyword_freq: add frequency & topology anchors"
RF Generator,google,"(GaN OR LDMOS) (\"RF amplifier\" OR \"RF power supply\") (heatsink OR cooling OR efficiency OR \"power density\") (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","device: semiconductor device focus"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"model predictive control\" OR \"PID\" OR \"pulsed RF\" OR \"multi-frequency\" OR \"harmonic control\") (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","algo: control & modulation methods"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"VI probe\" OR sensing OR telemetry OR monitoring) (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","sensing: integration with measurement"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (H05H OR H02M OR H03K) (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","cpc_keyword: include key CPC roots"
RF Generator,google,"(intitle:\"RF generator\" OR intitle:\"RF power supply\") (plasma OR etch OR CVD OR PVD) (13.56 OR 27.12 OR 40.68) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","title_abstract_bias: title emphasis + freq"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"plasma etch\" OR \"PECVD\" OR \"ALD\" OR sputter) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","process_specific: explicit process anchors"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\" or \"RF source\")) and (plasma or etch or CVD or PVD or ALD) and not (\"microwave oven\" or \"medical diathermy\")","broad_keyword"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\")) and (13.56 or 27.12 or 40.68 or 60) and (GaN or LDMOS or \"class E\" or \"class F\") and not (\"microwave oven\" or \"medical diathermy\")","keyword_freq"
RF Generator,espacenet,"(class H05H or H02M) and (ti,ab all (GaN or LDMOS)) and (plasma) and not (\"microwave oven\" or \"medical diathermy\")","device"
RF Generator,espacenet,"(ti,ab all (\"pulsed RF\" or \"multi-frequency\" or \"model predictive control\" or PID)) and (plasma) and not (\"microwave oven\" or \"medical diathermy\")","algo"
RF Generator,espacenet,"(ti,ab all (\"VI probe\" or sensing or telemetry)) and (\"RF power\" or \"RF generator\") and not (\"microwave oven\" or \"medical diathermy\")","sensing"
RF Generator,espacenet,"(class H05H or H02M or H03K) and (ti,ab all (\"RF generator\" or \"RF power supply\")) and not (\"microwave oven\" or \"medical diathermy\")","cpc_keyword"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\")) and (etch or CVD or PVD or ALD) and not (\"microwave oven\" or \"medical diathermy\")","process_specific"
Matching Network,google,"(\"matching network\" OR \"impedance matching\" OR matchbox OR tuner OR \"impedance tuner\") (plasma OR etch OR CVD OR PVD OR ALD) after:2005 before:2031","broad_keyword"
Matching Network,google,"(\"matching network\" OR \"impedance matching\") (auto-matching OR adaptive OR autotune OR algorithm) (13.56 OR 27.12 OR 40.68) (plasma OR etch) after:2005 before:2031","keyword_freq: include automation + freq"
Matching Network,google,"(\"matching network\" OR \"impedance tuner\") (hybrid OR solid-state OR \"pi network\" OR \"Ï€ network\") (plasma) after:2005 before:2031","device: hardware topology focus"
Matching Network,google,"(\"impedance matching\" OR \"matching network\") (\"model predictive control\" OR optimization OR algorithm OR \"neural\") (plasma OR etch) after:2005 before:2031","algo: optimization & control"
Matching Network,google,"(\"matching network\" OR \"impedance matching\") (\"VI probe\" OR sensor OR monitoring OR \"arc detect\") (plasma) after:2005 before:2031","sensing: integrated sensing"
Matching Network,google,"(\"matching network\" OR \"impedance matching\") (H05H OR H02M OR H01P) (plasma) after:2005 before:2031","cpc_keyword: CPC roots"
Matching Network,google,"(intitle:\"matching network\" OR intitle:\"impedance matching\") (plasma OR etch OR CVD) after:2005 before:2031","title_abstract_bias: title emphasis"
Matching Network,google,"(\"matching network\" OR \"impedance matching\") (\"plasma etch\" OR \"PECVD\" OR sputter OR \"ALD\") after:2005 before:2031","process_specific"
Matching Network,espacenet,"(ti,ab all (\"matching network\" or \"impedance matching\" or tuner)) and (plasma or etch or CVD or PVD)","broad_keyword"
Matching Network,espacenet,"(ti,ab all (\"matching network\")) and (13.56 or 27.12 or 40.68) and (auto* or adaptive or algorithm)","keyword_freq"
Matching Network,espacenet,"(class H05H or H02M or H01P) and (ti,ab all (\"matching network\" or tuner))","device"
Matching Network,espacenet,"(ti,ab all (optimization or \"model predictive control\" or algorithm)) and (impedance near/3 match*)","algo"
Matching Network,espacenet,"(ti,ab all (sensor or \"VI probe\" or \"arc detect\")) and (impedance near/3 match*)","sensing"
Matching Network,espacenet,"(class H05H or H02M or H01P) and (ti,ab all (impedance and match*))","cpc_keyword"
Matching Network,espacenet,"(ti,ab all (\"matching network\" or \"impedance matching\")) and (etch or CVD or PVD or ALD)","process_specific"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"vac cap\" OR \"tuning capacitor\" OR \"variable capacitor\") (matching OR tuner OR plasma) after:2005 before:2031","broad_keyword"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (high voltage OR kV OR \"RF current\" OR \"power density\") (plasma) after:2005 before:2031","keyword_freq: performance metrics"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (ceramic OR \"bellows\" OR electrode OR assembly) (plasma) after:2005 before:2031","device: construction focus"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (control OR actuator OR motorized OR servo) (matching OR tuner) after:2005 before:2031","algo: actuation/control aspects"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (sensor OR temperature OR monitoring) (plasma) after:2005 before:2031","sensing: integrated sensing"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (H01G OR H05H) (plasma OR tuner) after:2005 before:2031","cpc_keyword: CPC roots"
Vacuum Capacitor,google,"(intitle:\"vacuum capacitor\" OR intitle:\"variable capacitor\") (plasma OR tuner OR matching) after:2005 before:2031","title_abstract_bias"
Vacuum Capacitor,google,"(\"vacuum capacitor\" OR \"variable capacitor\") (etch OR CVD OR PVD OR sputter) after:2005 before:2031","process_specific"
Vacuum Capacitor,espacenet,"(ti,ab all (\"vacuum capacitor\" or \"variable capacitor\" or \"tuning capacitor\")) and (plasma or matching or tuner)","broad_keyword"
Vacuum Capacitor,espacenet,"(ti,ab all (\"vacuum capacitor\")) and (high near/3 voltage or kV or \"power density\")","keyword_freq"
Vacuum Capacitor,espacenet,"(class H01G or H05H) and (ti,ab all (\"vacuum capacitor\" or \"variable capacitor\"))","device"
Vacuum Capacitor,espacenet,"(ti,ab all (actuator or motorized or servo)) and (ti,ab all (\"variable capacitor\"))","algo"
Vacuum Capacitor,espacenet,"(ti,ab all (sensor or temperature or monitoring)) and (ti,ab all (\"vacuum capacitor\"))","sensing"
Vacuum Capacitor,espacenet,"(class H01G or H05H) and (ti,ab all (\"variable capacitor\" or \"vacuum capacitor\"))","cpc_keyword"
Vacuum Capacitor,espacenet,"(ti,ab all (\"vacuum capacitor\" or \"variable capacitor\")) and (etch or CVD or PVD or sputter)","process_specific"
Firmware/Control,google,"(controller OR firmware OR \"RF control\" OR FPGA OR DSP) (plasma OR etch OR CVD OR PVD OR ALD) after:2005 before:2031","broad_keyword"
Firmware/Control,google,"(firmware OR controller OR FPGA OR DSP) (pulsed OR duty OR waveform OR timing OR \"multi-frequency\") (plasma) after:2005 before:2031","keyword_freq: timing & modulation anchors"
Firmware/Control,google,"(FPGA OR DSP OR microcontroller OR \"system on chip\") (plasma OR etch) (sequenc* OR timing OR waveform) after:2005 before:2031","device: hardware platform"
Firmware/Control,google,"(controller OR firmware) (\"model predictive control\" OR MPC OR PID OR adaptive OR optimization) (plasma OR etch) after:2005 before:2031","algo: control strategies"
Firmware/Control,google,"(controller OR firmware) (sensing OR feedback OR telemetry OR \"VI probe\") (plasma) after:2005 before:2031","sensing: closed-loop feedback"
Firmware/Control,google,"(controller OR firmware OR FPGA) (G05B OR H03K OR H05H) (plasma) after:2005 before:2031","cpc_keyword: CPC classes"
Firmware/Control,google,"(intitle:controller OR intitle:firmware OR intitle:FPGA) (plasma OR etch OR CVD) after:2005 before:2031","title_abstract_bias"
Firmware/Control,google,"(controller OR firmware OR FPGA OR DSP) (\"plasma etch\" OR PECVD OR sputter OR ALD) after:2005 before:2031","process_specific"
Firmware/Control,espacenet,"(ti,ab all (controller or firmware or FPGA or DSP)) and (plasma or etch or CVD or PVD or ALD)","broad_keyword"
Firmware/Control,espacenet,"(ti,ab all (controller or firmware)) and (pulsed or duty or waveform or timing or \"multi-frequency\") and (plasma)","keyword_freq"
Firmware/Control,espacenet,"(class G05B or H03K or H05H) and (ti,ab all (FPGA or DSP or controller))","device"
Firmware/Control,espacenet,"(ti,ab all (\"model predictive control\" or MPC or PID or adaptive or optimization)) and (plasma)","algo"
Firmware/Control,espacenet,"(ti,ab all (feedback or sensing or telemetry or \"VI probe\")) and (controller)","sensing"
Firmware/Control,espacenet,"(class G05B or H03K or H05H) and (ti,ab all (control or controller))","cpc_keyword"
Firmware/Control,espacenet,"(ti,ab all (controller or firmware)) and (etch or CVD or PVD or ALD)","process_specific"
Sensors,google,"(sensor OR \"VI probe\" OR \"voltage current probe\" OR \"arc detect\" OR \"harmonic sensor\") (plasma OR etch OR CVD OR PVD OR ALD) after:2005 before:2031","broad_keyword"
Sensors,google,"(sensor OR \"VI probe\") (harmonic OR arc OR impedance OR \"power measurement\") (plasma) after:2005 before:2031","keyword_freq: measurement focus"
Sensors,google,"(\"VI probe\" OR \"voltage current probe\") (design OR shield* OR calibration OR accuracy) (plasma) after:2005 before:2031","device: probe design"
Sensors,google,"(sensor OR \"VI probe\") (algorithm OR \"machine learning\" OR predictive OR estimation) (plasma) after:2005 before:2031","algo: data/estimation"
Sensors,google,"(sensor OR \"VI probe\") (feedback OR control OR closed-loop OR monitoring) (plasma) after:2005 before:2031","sensing: control integration"
Sensors,google,"(sensor OR \"VI probe\") (G01R OR H05H OR G01N) (plasma) after:2005 before:2031","cpc_keyword: CPC classes"
Sensors,google,"(intitle:sensor OR intitle:probe) (plasma OR etch OR CVD) after:2005 before:2031","title_abstract_bias"
Sensors,google,"(sensor OR \"VI probe\") (etch OR CVD OR PVD OR ALD OR sputter) after:2005 before:2031","process_specific"
Sensors,espacenet,"(ti,ab all (sensor or \"VI probe\" or \"voltage current probe\" or \"arc detect\")) and (plasma or etch or CVD or PVD or ALD)","broad_keyword"
Sensors,espacenet,"(ti,ab all (sensor or \"VI probe\")) and (harmonic or arc or impedance) and (plasma)","keyword_freq"
Sensors,espacenet,"(class G01R or H05H or G01N) and (ti,ab all (sensor or probe))","device"
Sensors,espacenet,"(ti,ab all (algorithm or \"machine learning\" or predictive or estimation)) and (sensor)","algo"
Sensors,espacenet,"(ti,ab all (feedback or control or monitoring)) and (sensor or probe)","sensing"
Sensors,espacenet,"(class G01R or H05H or G01N) and (ti,ab all (plasma and sensor))","cpc_keyword"
Sensors,espacenet,"(ti,ab all (sensor or probe)) and (etch or CVD or PVD or ALD)","process_specific"
Reliability/EMC/Thermal,google,"(reliability OR MTBF OR derating OR EMI OR EMC OR cooling OR \"thermal management\") (plasma OR \"RF generator\" OR matching) after:2005 before:2031","broad_keyword"
Reliability/EMC/Thermal,google,"(EMI OR EMC OR \"thermal\" OR cooling OR MTBF) (shielding OR heatsink OR airflow OR derating OR failure) (plasma OR RF) after:2005 before:2031","keyword_freq: performance & failure anchors"
Reliability/EMC/Thermal,google,"(cooling OR heatsink OR fan OR liquid OR \"thermal interface\") (\"RF generator\" OR FPGA OR LDMOS OR GaN) after:2005 before:2031","device: component thermal focus"
Reliability/EMC/Thermal,google,"(reliability OR thermal OR EMI OR EMC) (modeling OR simulation OR \"finite element\" OR predictive) (plasma OR RF) after:2005 before:2031","algo: modeling & simulation"
Reliability/EMC/Thermal,google,"(monitoring OR sensing OR temperature OR vibration) (reliability OR thermal OR EMI) (plasma OR RF) after:2005 before:2031","sensing: reliability monitoring"
Reliability/EMC/Thermal,google,"(reliability OR EMC OR thermal) (H05K OR H05H OR F28F) (RF OR plasma) after:2005 before:2031","cpc_keyword: CPC classes"
Reliability/EMC/Thermal,google,"(intitle:reliability OR intitle:thermal OR intitle:EMI OR intitle:EMC) (RF OR plasma) after:2005 before:2031","title_abstract_bias"
Reliability/EMC/Thermal,google,"(reliability OR thermal OR EMI OR EMC) (etch OR CVD OR PVD OR ALD OR sputter) after:2005 before:2031","process_specific"
Reliability/EMC/Thermal,espacenet,"(ti,ab all (reliability or MTBF or derating or EMI or EMC or cooling or thermal)) and (plasma or RF)","broad_keyword"
Reliability/EMC/Thermal,espacenet,"(ti,ab all (EMI or EMC or thermal or cooling)) and (shielding or heatsink or derating or failure)","keyword_freq"
Reliability/EMC/Thermal,espacenet,"(class H05K or F28F or H05H) and (ti,ab all (cooling or thermal or reliability))","device"
Reliability/EMC/Thermal,espacenet,"(ti,ab all (modeling or simulation or \"finite element\" or predictive)) and (thermal or reliability or EMI)","algo"
Reliability/EMC/Thermal,espacenet,"(ti,ab all (monitoring or sensing or temperature or vibration)) and (reliability or thermal)","sensing"
Reliability/EMC/Thermal,espacenet,"(class H05K or F28F or H05H) and (ti,ab all (EMI or EMC or thermal or reliability))","cpc_keyword"
Reliability/EMC/Thermal,espacenet,"(ti,ab all (reliability or thermal or EMI or EMC)) and (etch or CVD or PVD or ALD or sputter)","process_specific"
